,,,Place,Place,Conference,Conference,Division,Division,Division,Division,Division,Division,All-Star,All-Star,Margin,Margin,Month,Month,Month,Month,Month,Month,Month
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr,Year
27,New Orleans Pelicans,21-61,14-27,7-34,8-23,13-38,2-8,3-8,3-7,6-12,4-13,3-13,13-42,8-19,3-8,6-38,2-3,2-13,1-12,7-9,4-7,5-10,0-7,2025
28,Charlotte Hornets,19-63,12-29,7-34,10-42,9-21,3-15,6-12,1-15,2-8,2-8,5-5,13-39,6-24,8-7,5-39,2-2,4-12,1-11,5-8,2-11,5-12,0-7,2025
29,Washington Wizards,18-64,8-33,10-31,13-39,5-25,4-14,2-16,7-9,4-6,1-9,0-10,9-45,9-19,7-2,5-53,2-2,0-14,3-9,1-16,4-7,6-11,2-5,2025
30,Utah Jazz,17-65,10-31,7-34,9-21,8-44,3-7,2-8,4-6,3-13,2-17,3-14,13-41,4-24,5-8,8-37,0-5,4-10,3-9,3-12,5-8,1-16,1-5,2025
1,Boston Celtics,64-18,37-4,27-14,41-11,23-7,15-2,13-5,13-4,6-4,7-3,10-0,43-12,21-6,6-7,42-5,3-0,11-4,12-2,11-5,9-1,12-4,6-2,2024
2,Denver Nuggets,57-25,33-8,24-17,24-6,33-19,8-2,8-2,8-2,10-6,11-7,12-6,36-19,21-6,6-6,28-10,4-0,9-6,10-5,10-5,8-3,11-4,5-2,2024
3,Oklahoma City Thunder,57-25,33-8,24-17,21-9,36-16,6-4,6-4,9-1,12-4,11-7,13-5,37-17,20-8,6-3,32-10,3-1,9-5,10-3,11-6,8-3,11-4,5-3,2024
4,Minnesota Timberwolves,56-26,30-11,26-15,19-11,37-15,6-4,6-4,7-3,12-4,10-7,15-4,39-16,17-10,7-6,32-10,1-2,13-2,10-3,10-7,8-3,9-6,5-3,2024
5,Los Angeles Clippers,51-31,25-16,26-15,21-9,30-22,6-4,6-4,9-1,10-9,9-7,11-6,36-17,15-14,6-4,28-17,3-1,5-9,11-2,12-3,6-5,10-7,4-4,2024
6,Dallas Mavericks,50-32,25-16,25-16,19-11,31-21,6-4,3-7,10-0,10-9,10-7,11-5,32-23,18-9,5-2,31-21,3-0,8-6,8-8,7-8,8-3,11-4,5-3,2024
7,New York Knicks,50-32,27-14,23-18,35-17,15-15,12-5,11-7,12-5,5-5,6-4,4-6,33-22,17-10,4-3,32-16,2-2,9-5,6-8,14-2,4-8,9-5,6-2,2024
8,Milwaukee Bucks,49-33,31-11,18-22,34-18,15-15,12-6,10-7,12-5,4-6,5-5,6-4,35-21,14-12,4-6,25-16,2-1,11-5,11-2,8-8,7-5,8-6,2-6,2024
9,New Orleans Pelicans,49-33,21-19,28-14,19-11,30-22,8-2,5-5,6-4,9-8,12-7,9-7,33-22,16-11,1-7,32-18,2-1,8-8,9-5,8-7,8-4,10-4,4-4,2024
10,Phoenix Suns,49-33,25-16,24-17,20-10,29-23,4-6,8-2,8-2,12-5,9-9,8-9,33-22,16-11,8-6,29-14,2-2,9-5,6-8,11-5,7-4,8-7,6-2,2024
11,Cleveland Cavaliers,48-34,26-15,22-19,31-21,17-13,9-8,11-5,11-8,5-5,4-6,8-2,36-17,12-17,9-5,24-16,1-3,9-6,8-5,11-2,9-4,7-10,3-4,2024
12,Indiana Pacers,47-35,26-15,21-20,32-20,15-15,10-8,11-6,11-6,3-7,5-5,7-3,31-25,16-10,6-5,30-16,2-1,7-7,8-6,10-7,7-5,8-7,5-2,2024
13,Los Angeles Lakers,47-35,28-14,19-21,20-10,27-25,6-4,8-2,6-4,9-8,7-10,11-7,30-26,17-9,11-4,20-25,2-2,9-7,6-8,7-8,9-3,9-5,5-2,2024
14,Orlando Magic,47-35,29-12,18-23,32-20,15-15,9-8,14-5,9-7,7-3,2-8,6-4,30-25,17-10,6-9,27-20,2-2,11-3,6-8,6-10,9-3,9-5,4-4,2024
15,Philadelphia 76ers,47-35,25-16,22-19,31-21,16-14,8-8,8-9,15-4,6-4,4-6,6-4,32-22,15-13,3-4,27-18,2-1,10-5,10-4,7-7,4-8,7-10,7-0,2024
16,Miami Heat,46-36,22-19,24-17,32-20,14-16,8-10,11-7,13-3,3-7,5-5,6-4,30-25,16-11,8-4,21-15,1-3,10-5,8-5,6-10,8-3,8-7,5-3,2024
17,Golden State Warriors,46-36,21-20,25-16,20-10,26-26,7-3,5-5,8-2,9-10,7-9,10-7,27-26,19-10,4-11,24-12,3-1,6-9,6-7,5-7,11-3,9-7,6-2,2024
18,Sacramento Kings,46-36,24-17,22-19,16-14,30-22,5-5,5-5,6-4,12-5,10-7,8-10,31-23,15-13,6-5,26-19,2-1,8-6,9-5,8-7,6-6,10-6,3-5,2024
19,Houston Rockets,41-41,27-14,14-27,13-17,28-24,3-7,5-5,5-5,11-8,8-9,9-7,24-30,17-11,8-5,23-17,0-3,8-5,7-7,7-10,3-9,13-2,3-5,2024
20,Chicago Bulls,39-43,20-21,19-22,22-29,17-14,5-12,7-9,10-8,6-4,3-7,8-3,26-29,13-14,6-8,12-25,2-2,4-12,9-5,8-7,5-5,8-8,3-4,2024
21,Atlanta Hawks,36-46,21-20,15-26,22-30,14-16,8-11,6-11,8-8,4-6,4-6,6-4,24-31,12-15,9-6,15-21,2-2,7-7,4-10,7-8,6-6,8-7,2-6,2024
22,Brooklyn Nets,32-50,20-21,12-29,24-28,8-22,5-11,8-9,11-8,2-8,3-7,3-7,21-33,11-17,4-6,17-28,1-2,8-7,6-9,4-10,4-8,6-10,3-4,2024
23,Utah Jazz,31-51,21-20,10-31,15-15,16-36,5-5,5-5,5-5,5-11,3-15,8-10,26-30,5-21,5-8,15-33,1-3,5-10,8-6,10-6,3-8,2-13,2-5,2024
24,Memphis Grizzlies,27-55,9-32,18-23,13-18,14-37,3-7,6-5,4-6,2-16,4-13,8-8,20-36,7-19,6-3,11-31,0-4,4-9,6-9,8-7,2-10,4-11,3-5,2024
25,Toronto Raptors,25-57,14-27,11-30,18-34,7-23,1-15,8-9,9-10,1-9,2-8,4-6,19-36,6-21,5-10,10-30,1-3,8-7,3-10,5-10,5-7,1-14,2-6,2024
26,San Antonio Spurs,22-60,12-29,10-31,8-23,14-37,3-7,3-8,2-8,6-12,5-12,3-13,11-44,11-16,5-7,12-31,2-2,1-13,2-12,5-11,2-10,6-9,4-3,2024
27,Charlotte Hornets,21-61,11-30,10-31,14-38,7-23,4-14,4-14,6-10,3-7,1-9,3-7,13-41,8-20,7-3,5-43,1-2,5-9,1-12,3-13,5-8,3-12,3-5,2024
28,Portland Trail Blazers,21-61,11-30,10-31,13-17,8-44,5-5,5-5,3-7,1-15,2-16,5-13,15-39,6-22,5-6,5-38,1-3,5-9,3-10,6-11,0-9,4-13,2-6,2024
29,Washington Wizards,15-67,7-34,8-33,11-41,4-26,2-17,5-12,4-12,1-9,1-9,2-8,9-45,6-22,4-5,6-35,1-2,2-13,3-11,3-12,0-12,5-11,1-6,2024
30,Detroit Pistons,14-68,7-33,7-35,10-41,4-27,3-14,2-14,5-13,2-8,1-9,1-10,8-46,6-22,1-7,8-39,2-2,0-15,1-12,3-12,3-8,4-12,1-7,2024
1,Milwaukee Bucks,58-24,32-9,26-15,35-17,23-7,12-6,11-5,12-6,9-1,8-2,6-4,41-17,17-7,6-1,30-15,6-0,9-5,8-7,11-5,10-0,11-5,3-2,2023
2,Boston Celtics,57-25,32-9,25-16,34-18,23-7,11-5,11-7,12-6,7-3,7-3,9-1,42-17,15-8,5-8,31-11,4-2,14-2,8-6,10-5,8-3,10-6,3-1,2023
3,Philadelphia 76ers,54-28,29-12,25-16,34-18,20-10,10-6,13-5,11-7,7-3,8-2,5-5,38-19,16-9,10-5,26-11,4-4,8-6,9-4,11-3,7-4,12-5,3-2,2023
4,Denver Nuggets,53-29,34-7,19-22,19-11,34-18,4-6,7-3,8-2,10-6,13-5,11-7,41-18,12-11,7-6,29-15,4-3,10-4,9-5,12-4,9-3,7-7,2-3,2023
5,Cleveland Cavaliers,51-31,31-10,20-21,34-18,17-13,8-10,13-3,13-5,4-6,5-5,8-2,38-23,13-8,5-8,33-11,5-1,9-7,9-6,8-8,8-3,9-5,3-1,2023
6,Memphis Grizzlies,51-31,35-6,16-25,21-9,30-22,5-5,8-2,8-2,9-9,8-10,13-3,35-22,16-9,3-6,31-17,4-3,8-6,10-4,10-5,5-5,12-5,2-3,2023
7,Sacramento Kings,48-34,23-18,25-16,16-14,32-20,4-6,7-3,5-5,11-7,9-7,12-6,32-25,16-9,9-7,19-13,2-4,9-5,8-6,9-6,8-4,11-5,1-4,2023
8,New York Knicks,47-35,23-18,24-17,32-20,15-15,8-8,12-6,12-6,7-3,4-6,4-6,33-27,14-8,10-4,23-13,3-3,7-9,9-6,8-7,9-2,9-6,2-2,2023
9,Brooklyn Nets,45-37,23-18,22-19,30-22,15-15,7-9,7-11,16-2,6-4,4-6,5-5,34-24,11-13,10-4,22-17,2-5,10-6,12-1,7-7,3-8,8-8,3-2,2023
10,Phoenix Suns,45-37,28-13,17-24,15-15,30-22,6-4,6-4,3-7,11-7,9-7,10-8,32-28,13-9,4-9,28-17,5-1,10-5,5-11,7-8,6-4,9-6,3-2,2023
11,Golden State Warriors,44-38,33-8,11-30,14-16,30-22,5-5,4-6,5-5,10-8,7-9,13-5,29-29,15-9,4-8,24-16,3-4,8-7,8-7,7-6,6-6,9-7,3-1,2023
12,Los Angeles Clippers,44-38,23-18,21-20,17-13,27-25,6-4,6-4,5-5,6-12,9-7,12-6,33-28,11-10,4-6,20-21,3-4,10-6,8-7,8-8,4-6,8-6,3-1,2023
13,Miami Heat,44-38,27-14,17-24,24-28,20-10,6-12,8-10,10-6,6-4,7-3,7-3,32-27,12-11,14-8,12-13,2-5,8-7,9-6,10-5,4-6,7-8,4-1,2023
14,Los Angeles Lakers,43-39,23-18,20-21,16-14,27-25,3-7,5-5,8-2,9-9,6-10,12-6,27-32,16-7,8-5,19-19,1-5,7-7,7-9,9-7,5-5,10-5,4-1,2023
15,Minnesota Timberwolves,42-40,22-19,20-21,13-17,29-23,4-6,5-5,4-6,8-8,10-8,11-7,31-30,11-10,6-7,15-16,4-3,7-8,5-10,11-5,5-6,7-7,3-1,2023
16,New Orleans Pelicans,42-40,27-14,15-26,13-17,29-23,4-6,5-5,4-6,9-9,9-9,11-5,30-29,12-11,4-6,25-20,4-2,9-6,10-5,3-13,4-6,9-6,3-2,2023
17,Atlanta Hawks,41-41,24-17,17-24,26-26,15-15,6-12,12-6,8-8,4-6,6-4,5-5,29-30,12-11,10-7,19-15,4-3,8-7,5-9,8-7,6-5,7-8,3-2,2023
18,Toronto Raptors,41-41,27-14,14-27,26-26,15-15,4-12,10-8,12-6,5-5,3-7,7-3,28-31,13-10,4-10,23-16,4-3,7-7,5-10,7-9,8-3,7-7,3-2,2023
19,Chicago Bulls,40-42,22-19,18-23,27-25,13-17,9-9,7-9,11-7,6-4,2-8,5-5,26-33,14-9,4-7,24-19,3-4,6-8,7-8,7-7,5-7,9-6,3-2,2023
20,Oklahoma City Thunder,40-42,24-17,16-25,15-15,25-27,6-4,5-5,4-6,9-7,6-12,10-8,28-29,12-13,7-7,21-15,3-3,6-10,6-8,9-5,4-7,10-7,2-2,2023
21,Dallas Mavericks,38-44,23-18,15-26,10-20,28-24,6-4,2-8,2-8,9-9,10-8,9-7,31-29,7-15,8-12,11-12,3-3,7-7,11-6,6-9,5-6,5-9,1-4,2023
22,Utah Jazz,37-45,23-18,14-27,13-17,24-28,3-7,4-6,6-4,6-10,8-10,10-8,29-31,8-14,10-8,13-16,6-2,7-9,6-9,7-6,5-6,5-9,1-4,2023
23,Indiana Pacers,35-47,20-21,15-26,24-28,11-19,7-11,7-9,10-8,2-8,5-5,4-6,26-34,9-13,8-7,9-25,3-5,9-4,8-8,4-11,4-7,6-9,1-3,2023
24,Washington Wizards,35-47,19-22,16-25,21-31,14-16,5-13,8-10,8-8,4-6,3-7,7-3,28-30,7-17,7-6,19-21,3-4,8-7,5-10,8-5,5-6,5-11,1-4,2023
25,Orlando Magic,34-48,20-21,14-27,20-32,14-16,8-10,5-13,7-9,4-6,5-5,5-5,24-35,10-13,5-6,16-24,1-6,4-11,8-7,7-7,6-5,7-8,1-4,2023
26,Portland Trail Blazers,33-49,17-24,16-25,10-20,23-29,1-9,3-7,6-4,7-9,6-12,10-8,28-30,5-19,8-7,18-28,5-1,6-10,7-6,6-9,5-6,3-13,1-4,2023
27,Charlotte Hornets,27-55,13-28,14-27,15-37,12-18,2-16,6-12,7-9,4-6,3-7,5-5,17-43,10-12,3-3,8-35,3-4,3-11,4-12,5-10,5-6,6-9,1-3,2023
28,Houston Rockets,22-60,14-27,8-33,10-20,12-40,2-8,4-6,4-6,5-13,3-15,4-12,13-45,9-15,5-4,6-36,1-7,4-9,5-10,2-12,1-10,6-11,3-1,2023
29,San Antonio Spurs,22-60,14-27,8-33,12-18,10-42,3-7,6-4,3-7,6-12,1-17,3-13,14-45,8-15,3-3,6-42,5-2,1-14,6-8,2-13,1-10,4-11,3-2,2023
30,Detroit Pistons,17-65,9-32,8-33,8-44,9-21,1-17,2-14,5-13,5-5,2-8,2-8,15-44,2-21,2-8,6-37,2-6,3-12,5-11,3-10,2-8,1-14,1-4,2023
1,Phoenix Suns,64-18,32-9,32-9,25-5,39-13,8-2,9-1,8-2,14-4,10-6,15-3,48-10,16-8,6-2,37-9,2-3,16-0,9-5,13-1,9-3,13-2,2-4,2022
2,Memphis Grizzlies,56-26,30-11,26-15,20-10,36-16,6-4,9-1,5-5,10-8,15-3,11-5,41-19,15-7,5-3,33-17,3-3,8-7,12-4,12-4,8-2,11-3,2-3,2022
3,Golden State Warriors,53-29,31-10,22-19,20-10,33-19,6-4,8-2,6-4,12-6,12-4,9-9,42-17,11-12,6-5,34-10,5-1,13-2,9-4,11-6,5-5,5-11,5-0,2022
4,Miami Heat,53-29,29-12,24-17,35-17,18-12,10-8,12-6,13-3,6-4,4-6,8-2,38-21,15-8,3-6,31-15,5-1,8-7,10-5,9-6,9-2,8-7,4-1,2022
5,Dallas Mavericks,52-30,29-12,23-18,16-14,36-16,6-4,6-4,4-6,12-6,10-8,14-2,35-24,17-6,7-5,27-14,4-2,6-7,7-9,12-4,7-3,12-4,4-1,2022
6,Boston Celtics,51-31,28-13,23-18,33-19,18-12,9-7,12-6,12-6,7-3,5-5,6-4,34-26,17-5,3-9,35-9,2-4,9-6,6-9,10-6,9-2,11-3,4-1,2022
7,Milwaukee Bucks,51-31,27-14,24-17,33-19,18-12,10-8,12-4,11-7,5-5,7-3,6-4,36-24,15-7,4-2,31-15,3-4,10-4,11-5,7-8,6-4,11-3,3-3,2022
8,Philadelphia 76ers,51-31,24-17,27-14,32-20,19-11,6-10,14-4,12-6,5-5,6-4,8-2,35-23,16-8,6-6,28-11,4-2,7-8,8-6,12-3,6-4,9-7,5-1,2022
9,Utah Jazz,49-33,29-12,20-21,16-14,33-19,7-3,4-6,5-5,15-1,9-9,9-9,36-22,13-11,1-6,34-10,5-1,9-6,12-2,4-12,8-1,8-9,3-2,2022
10,Denver Nuggets,48-34,23-18,25-16,19-11,29-23,6-4,5-5,8-2,6-10,13-5,10-8,33-25,15-9,8-3,23-20,4-2,6-8,7-6,11-5,8-4,10-6,2-3,2022
11,Toronto Raptors,48-34,24-17,24-17,30-22,18-12,10-6,8-10,12-6,5-5,7-3,6-4,32-25,16-9,7-6,25-14,4-3,5-10,6-4,10-6,8-4,11-5,4-2,2022
12,Chicago Bulls,46-36,27-14,19-22,29-23,17-13,8-10,10-6,11-7,8-2,5-5,4-6,38-21,8-15,4-4,23-20,5-1,9-7,9-2,8-8,8-5,6-9,1-4,2022
13,Minnesota Timberwolves,46-36,26-15,20-21,14-16,32-20,4-6,7-3,3-7,12-4,8-10,12-6,31-28,15-8,4-4,28-21,3-2,8-8,5-9,9-6,8-4,10-5,3-2,2022
14,Brooklyn Nets,44-38,20-21,24-17,31-21,13-17,10-6,12-6,9-9,4-6,3-7,6-4,31-28,13-10,8-4,20-20,4-3,11-3,8-4,6-10,3-10,8-7,4-1,2022
15,Cleveland Cavaliers,44-38,25-16,19-22,27-25,17-13,8-10,10-6,9-9,8-2,4-6,5-5,35-23,9-15,10-4,22-19,3-4,8-6,9-6,11-4,5-5,6-10,2-3,2022
16,Atlanta Hawks,43-39,27-14,16-25,26-26,17-13,6-12,11-7,9-7,5-5,6-4,6-4,28-30,15-9,7-3,24-18,3-3,8-7,5-9,8-7,5-5,11-6,3-2,2022
17,Charlotte Hornets,43-39,22-19,21-20,27-25,16-14,8-10,11-7,8-8,6-4,3-7,7-3,29-31,14-8,6-8,24-23,5-2,8-8,6-7,9-6,2-10,10-4,3-2,2022
18,Los Angeles Clippers,42-40,25-16,17-24,16-14,26-26,4-6,4-6,8-2,10-8,9-7,7-11,30-31,12-9,10-5,20-21,1-4,10-6,7-8,8-9,6-4,5-9,5-0,2022
19,New York Knicks,37-45,17-24,20-21,22-30,15-15,5-11,8-10,9-9,2-8,6-4,7-3,25-34,12-11,5-6,19-23,5-1,6-9,6-9,7-8,1-9,9-7,3-2,2022
20,New Orleans Pelicans,36-46,19-22,17-24,11-19,25-27,2-8,6-4,3-7,9-9,10-8,6-10,23-36,13-10,4-3,23-30,1-6,5-11,7-5,5-10,7-4,8-7,3-3,2022
21,Washington Wizards,35-47,21-20,14-27,24-28,11-19,8-10,9-9,7-9,5-5,2-8,4-6,27-31,8-16,12-6,11-27,5-1,8-7,5-9,5-9,4-7,6-10,2-4,2022
22,San Antonio Spurs,34-48,16-25,18-23,10-20,24-28,2-8,3-7,5-5,11-7,7-11,6-10,23-36,11-12,6-5,19-24,2-4,4-9,8-7,5-12,5-6,7-7,3-3,2022
23,Los Angeles Lakers,33-49,21-20,12-29,15-15,18-34,4-6,5-5,6-4,8-10,3-13,7-11,27-31,6-18,5-7,13-22,4-3,8-8,6-8,6-8,3-6,4-12,2-4,2022
24,Sacramento Kings,30-52,16-25,14-27,10-20,20-32,1-9,3-7,6-4,6-12,6-10,8-10,22-38,8-14,7-8,11-30,3-3,5-11,7-8,3-12,5-6,5-9,2-3,2022
25,Portland Trail Blazers,27-55,17-24,10-31,16-14,11-41,6-4,5-5,5-5,1-15,5-13,5-13,25-34,2-21,1-5,11-41,3-3,8-8,2-11,8-8,4-6,2-13,0-6,2022
26,Indiana Pacers,25-57,16-25,9-32,11-41,14-16,5-13,2-14,4-14,4-6,4-6,6-4,20-40,5-17,3-14,14-19,1-6,8-8,5-8,5-11,2-9,4-10,0-5,2022
27,Oklahoma City Thunder,24-58,12-29,12-29,7-23,17-35,4-6,2-8,1-9,6-10,5-13,6-12,18-40,6-18,7-6,9-32,1-5,5-9,7-8,2-12,4-8,3-12,2-4,2022
28,Detroit Pistons,23-59,13-28,10-31,18-34,5-25,5-13,6-10,7-11,2-8,1-9,2-8,13-45,10-14,7-6,6-33,1-5,3-12,1-11,7-9,3-9,6-10,2-3,2022
29,Orlando Magic,22-60,12-29,10-31,12-40,10-20,4-14,5-13,3-13,6-4,1-9,3-7,13-47,9-13,2-7,6-39,1-6,3-12,3-11,4-11,4-7,5-10,2-3,2022
30,Houston Rockets,20-62,11-30,9-32,9-21,11-41,1-9,3-7,5-5,6-12,2-16,3-13,15-43,5-19,3-9,9-44,1-5,3-11,6-10,4-10,1-9,5-12,0-5,2022
1,Utah Jazz,52-20,31-5,21-15,24-6,28-14,7-3,10-0,7-3,7-5,8-7,13-2,27-9,25-11,3-2,39-7,2-2,13-3,12-2,9-4,9-7,7-2,NA,2021
2,Phoenix Suns,51-21,27-9,24-12,21-9,30-12,7-3,8-2,6-4,11-4,7-5,12-3,24-11,27-10,9-3,23-8,4-1,6-7,12-3,11-3,12-4,6-3,NA,2021
3,Philadelphia 76ers,49-23,29-7,20-16,31-11,18-12,10-2,8-7,13-2,5-5,6-4,7-3,24-12,25-11,7-3,27-12,4-1,11-5,7-6,10-3,10-6,7-2,NA,2021
4,Brooklyn Nets,48-24,28-8,20-16,26-16,22-8,8-4,9-6,9-6,7-3,9-1,6-4,24-13,24-11,3-5,24-11,3-2,10-7,9-4,11-2,10-6,5-3,NA,2021
5,Denver Nuggets,47-25,25-11,22-14,21-9,26-16,5-5,9-1,7-3,9-3,6-9,11-4,21-15,26-10,6-4,29-11,1-3,11-5,6-7,11-3,13-3,5-4,NA,2021
6,Los Angeles Clippers,47-25,26-10,21-15,20-10,27-15,4-6,9-1,7-3,10-5,9-3,8-7,24-14,23-11,3-4,31-7,4-1,12-4,8-7,8-5,11-4,4-4,NA,2021
7,Milwaukee Bucks,46-26,26-10,20-16,30-12,16-14,8-7,11-1,11-4,6-4,5-5,5-5,22-14,24-12,6-5,29-12,2-3,9-5,10-5,9-4,9-7,7-2,NA,2021
8,Dallas Mavericks,42-30,21-15,21-15,21-9,21-21,6-4,6-4,9-1,8-7,6-9,7-5,18-16,24-14,5-4,26-17,1-3,7-9,8-4,9-5,10-6,7-3,NA,2021
9,Los Angeles Lakers,42-30,21-15,21-15,17-13,25-17,4-6,8-2,5-5,10-5,4-8,11-4,24-13,18-17,7-5,22-13,3-2,12-4,9-5,6-7,6-9,6-3,NA,2021
10,Portland Trail Blazers,42-30,20-16,22-14,19-11,23-19,7-3,6-4,6-4,6-6,7-8,10-5,21-14,21-16,10-9,19-12,2-2,8-6,8-6,11-4,6-10,7-2,NA,2021
11,Atlanta Hawks,41-31,25-11,16-20,24-18,17-13,7-8,8-7,9-3,5-5,6-4,6-4,16-20,25-11,3-3,25-15,3-1,7-8,4-11,9-4,11-6,7-1,NA,2021
12,New York Knicks,41-31,25-11,16-20,25-17,16-14,4-8,11-4,10-5,4-6,4-6,8-2,19-18,22-13,2-9,24-15,2-3,7-9,9-5,6-7,11-4,6-3,NA,2021
13,Miami Heat,40-32,21-15,19-17,24-18,16-14,9-6,9-6,6-6,5-5,5-5,6-4,18-18,22-14,4-5,17-17,2-2,5-10,10-5,7-7,9-6,7-2,NA,2021
